Acrosome/Train,Acrosome/Valid,Head/Train,Head/Valid,Vacuole/Train,Vacuole/Valid
0.71875,0.645833313465118,0.6875,0.600000023841858,0.921875,0.870833337306976
0.75,0.591666638851166,0.734375,0.641666650772095,0.9375,0.870833337306976
0.75,0.579166650772095,0.734375,0.645833313465118,0.859375,0.870833337306976
0.734375,0.566666662693024,0.75,0.658333361148834,0.921875,0.883333325386047
0.71875,0.608333349227905,0.671875,0.662500023841858,0.90625,0.883333325386047
0.640625,0.658333361148834,0.859375,0.683333337306976,0.90625,0.887499988079071
0.640625,0.708333313465118,0.75,0.699999988079071,0.84375,0.887499988079071
0.765625,0.720833361148834,0.71875,0.737500011920929,0.921875,0.875
0.8125,0.720833361148834,0.609375,0.679166674613953,0.953125,0.870833337306976
0.71875,0.729166686534882,0.71875,0.675000011920929,0.890625,0.870833337306976
0.734375,0.683333337306976,0.8125,0.712499976158142,0.953125,0.879166662693024
0.75,0.654166638851166,0.734375,0.704166650772095,0.90625,0.883333325386047
0.8125,0.600000023841858,0.6875,0.679166674613953,0.921875,0.883333325386047
0.65625,0.583333313465118,0.6875,0.595833361148834,0.90625,0.883333325386047
0.734375,0.641666650772095,0.703125,0.529166638851166,0.859375,0.883333325386047
0.703125,0.733333349227905,0.671875,0.600000023841858,0.90625,0.875
0.8125,0.75,0.84375,0.695833325386047,0.859375,0.879166662693024
0.6875,0.737500011920929,0.796875,0.733333349227905,0.890625,0.883333325386047
0.6875,0.754166662693024,0.65625,0.725000023841858,0.84375,0.875
0.65625,0.708333313465118,0.796875,0.604166686534882,0.890625,0.891666650772095
0.8125,0.554166674613953,0.796875,0.554166674613953,0.875,0.895833313465118
0.671875,0.520833313465118,0.6875,0.550000011920929,0.75,0.879166662693024
0.734375,0.508333325386047,0.703125,0.633333325386047,0.890625,0.875
0.6875,0.629166662693024,0.71875,0.704166650772095,0.921875,0.870833337306976
0.734375,0.725000023841858,0.75,0.754166662693024,0.90625,0.870833337306976
0.765625,0.737500011920929,0.75,0.729166686534882,0.9375,0.875
0.71875,0.733333349227905,0.703125,0.6875,0.84375,0.883333325386047
0.65625,0.725000023841858,0.703125,0.604166686534882,0.890625,0.883333325386047
0.859375,0.6875,0.71875,0.550000011920929,0.9375,0.887499988079071
0.71875,0.645833313465118,0.828125,0.516666650772095,0.953125,0.875
0.734375,0.600000023841858,0.71875,0.620833337306976,0.890625,0.883333325386047
0.765625,0.654166638851166,0.71875,0.695833325386047,0.9375,0.883333325386047
0.828125,0.708333313465118,0.71875,0.729166686534882,0.921875,0.879166662693024
0.734375,0.716666638851166,0.734375,0.754166662693024,0.796875,0.879166662693024
0.8125,0.704166650772095,0.65625,0.75,0.90625,0.875
0.8125,0.641666650772095,0.78125,0.662500023841858,0.859375,0.883333325386047
0.75,0.574999988079071,0.765625,0.608333349227905,0.921875,0.875
0.75,0.583333313465118,0.796875,0.574999988079071,0.921875,0.870833337306976
0.6875,0.691666662693024,0.71875,0.666666686534882,0.953125,0.875
0.765625,0.729166686534882,0.8125,0.675000011920929,0.84375,0.879166662693024
0.734375,0.716666638851166,0.796875,0.658333361148834,0.921875,0.883333325386047
0.71875,0.691666662693024,0.828125,0.645833313465118,0.84375,0.887499988079071
0.71875,0.629166662693024,0.75,0.712499976158142,0.9375,0.904166638851166
0.78125,0.600000023841858,0.796875,0.725000023841858,0.9375,0.899999976158142
0.71875,0.612500011920929,0.78125,0.729166686534882,0.90625,0.895833313465118
0.84375,0.654166638851166,0.796875,0.716666638851166,0.828125,0.895833313465118
0.796875,0.699999988079071,0.828125,0.691666662693024,0.875,0.875
0.828125,0.699999988079071,0.8125,0.649999976158142,0.9375,0.866666674613953
0.75,0.679166674613953,0.8125,0.641666650772095,0.875,0.862500011920929
0.828125,0.666666686534882,0.875,0.683333337306976,0.90625,0.887499988079071
0.8125,0.683333337306976,0.828125,0.666666686534882,0.953125,0.887499988079071
0.8125,0.670833349227905,0.734375,0.654166638851166,0.921875,0.883333325386047
0.78125,0.637499988079071,0.8125,0.670833349227905,0.828125,0.875
0.78125,0.691666662693024,0.8125,0.675000011920929,0.90625,0.875
0.828125,0.699999988079071,0.6875,0.6875,0.90625,0.866666674613953
