Acrosome/Train,Acrosome/Valid,Head/Train,Head/Valid,Vacuole/Train,Vacuole/Valid
0.453125,0.708333313465118,0.421875,0.658333361148834,0.8125,0.845833361148834
0.609375,0.425000011920929,0.609375,0.733333349227905,0.796875,0.858333349227905
0.53125,0.366666674613953,0.625,0.754166662693024,0.765625,0.862500011920929
0.65625,0.400000005960465,0.53125,0.75,0.859375,0.883333325386047
0.65625,0.491666674613953,0.6875,0.716666638851166,0.84375,0.875
0.546875,0.683333337306976,0.5625,0.654166638851166,0.8125,0.870833337306976
0.453125,0.725000023841858,0.515625,0.454166680574417,0.84375,0.870833337306976
0.546875,0.704166650772095,0.5,0.412499994039535,0.78125,0.850000023841858
0.59375,0.658333361148834,0.625,0.429166674613953,0.84375,0.845833361148834
0.5,0.645833313465118,0.484375,0.458333343267441,0.828125,0.858333349227905
0.59375,0.570833325386047,0.578125,0.616666674613953,0.875,0.866666674613953
0.65625,0.541666686534882,0.5625,0.691666662693024,0.921875,0.866666674613953
0.609375,0.529166638851166,0.53125,0.695833325386047,0.890625,0.866666674613953
0.515625,0.5625,0.640625,0.6875,0.90625,0.866666674613953
0.5,0.579166650772095,0.546875,0.645833313465118,0.859375,0.866666674613953
0.484375,0.629166662693024,0.5,0.662500023841858,0.828125,0.866666674613953
0.734375,0.666666686534882,0.546875,0.645833313465118,0.796875,0.870833337306976
0.546875,0.679166674613953,0.640625,0.670833349227905,0.8125,0.833333313465118
0.609375,0.695833325386047,0.578125,0.704166650772095,0.84375,0.820833325386047
0.46875,0.658333361148834,0.625,0.708333313465118,0.796875,0.850000023841858
0.5,0.591666638851166,0.546875,0.691666662693024,0.796875,0.875
0.5625,0.433333337306976,0.75,0.595833361148834,0.84375,0.875
0.640625,0.324999988079071,0.484375,0.425000011920929,0.859375,0.875
0.609375,0.300000011920929,0.65625,0.412499994039535,0.828125,0.875
0.46875,0.354166656732559,0.5625,0.474999994039535,0.859375,0.870833337306976
0.546875,0.470833331346512,0.578125,0.595833361148834,0.8125,0.879166662693024
0.515625,0.616666674613953,0.65625,0.679166674613953,0.828125,0.870833337306976
0.46875,0.691666662693024,0.5,0.725000023841858,0.8125,0.850000023841858
0.59375,0.691666662693024,0.640625,0.729166686534882,0.84375,0.858333349227905
