epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
58,0.46875,0.73857105,0.6916666626930237,0.6081244349479675,0.7577319587628866,0.8448275862068966,0.7989130434782609,0.7736842105263158,147,47,27,19,0.6733333468437195,0.608550488948822,0.7366255144032922,0.8403755868544601,0.7850877192982457,0.7552742616033755,179,64,34,23
59,0.59375,0.70394236,0.6916666626930237,0.5957841277122498,0.7336448598130841,0.9022988505747126,0.8092783505154639,0.7621359223300972,157,57,17,9,0.6966666579246521,0.5976116061210632,0.7276119402985075,0.9154929577464789,0.8108108108108107,0.7587548638132297,195,73,18,14
60,0.4375,0.806829,0.6916666626930237,0.6065763831138611,0.7403846153846154,0.8850574712643678,0.8062827225130891,0.7654075546719683,154,54,20,12,0.6800000071525574,0.6043141484260559,0.7241379310344828,0.8873239436619719,0.7974683544303797,0.7517899761336515,189,72,24,15
61,0.515625,0.7910432,0.5916666388511658,0.666939914226532,0.75,0.6551724137931034,0.6993865030674846,0.7289002557544757,114,38,60,28,0.6133333444595337,0.6553551554679871,0.7461928934010152,0.6901408450704225,0.7170731707317074,0.7342657342657343,147,50,66,37
62,0.484375,0.7176905,0.3958333432674408,0.8025590181350708,0.7636363636363637,0.2413793103448276,0.36681222707423583,0.532994923857868,42,13,132,53,0.4033333361148834,0.7814655303955078,0.765625,0.2300469483568075,0.35379061371841153,0.5223880597014926,49,15,164,72
63,0.578125,0.6832503,0.28333333134651184,0.9625555872917175,0.75,0.017241379310344827,0.033707865168539325,0.07894736842105264,3,1,171,65,0.28999999165534973,0.9368192553520203,0.5,0.009389671361502348,0.018433179723502304,0.043668122270742356,2,2,211,85
64,0.53125,0.6916106,0.27916666865348816,1.0078918933868408,0.6666666666666666,0.011494252873563218,0.022598870056497175,0.05376344086021505,2,1,172,65,0.2866666615009308,0.9826981425285339,0.3333333333333333,0.004694835680751174,0.00925925925925926,0.022222222222222223,1,2,212,85
65,0.46875,0.8682862,0.2750000059604645,0.9086753726005554,0.5,0.017241379310344827,0.03333333333333333,0.07575757575757576,3,3,171,63,0.30666667222976685,0.8895947337150574,0.7777777777777778,0.03286384976525822,0.06306306306306307,0.14056224899598393,7,2,206,85
66,0.53125,0.7364172,0.40416666865348816,0.7747566103935242,0.7384615384615385,0.27586206896551724,0.40167364016736395,0.5529953917050692,48,17,126,49,0.41333332657814026,0.7626299262046814,0.7402597402597403,0.2676056338028169,0.3931034482758621,0.5470249520153551,57,20,156,67
67,0.546875,0.694617,0.5791666507720947,0.6805091500282288,0.7517241379310344,0.6264367816091954,0.683385579937304,0.7228116710875331,109,36,65,30,0.6166666746139526,0.6746686697006226,0.7692307692307693,0.6572769953051644,0.7088607594936709,0.7438894792773646,140,42,73,45
68,0.46875,0.70773983,0.675000011920929,0.6249970197677612,0.7474226804123711,0.8333333333333334,0.7880434782608695,0.7631578947368421,145,49,29,17,0.6800000071525574,0.6225868463516235,0.7387755102040816,0.8497652582159625,0.7903930131004366,0.7585917854149202,181,64,32,23
69,0.59375,0.6679086,0.6958333253860474,0.6043066382408142,0.7370892018779343,0.9022988505747126,0.8113695090439276,0.7651072124756334,157,56,17,10,0.6800000071525574,0.6036552786827087,0.7241379310344828,0.8873239436619719,0.7974683544303797,0.7517899761336515,189,72,24,15
70,0.484375,0.7213568,0.6958333253860474,0.5986303091049194,0.7370892018779343,0.9022988505747126,0.8113695090439276,0.7651072124756334,157,56,17,10,0.6966666579246521,0.5989791750907898,0.7293233082706767,0.9107981220657277,0.8100208768267223,0.759592795614722,194,72,19,15
71,0.5,0.7605989,0.7083333134651184,0.6081677079200745,0.7524271844660194,0.8908045977011494,0.8157894736842105,0.7765531062124249,155,51,19,15,0.6933333277702332,0.6067458987236023,0.7372549019607844,0.8826291079812206,0.8034188034188035,0.7623682076236821,188,67,25,20
72,0.578125,0.6746001,0.6541666388511658,0.6355785131454468,0.76,0.764367816091954,0.7621776504297995,0.7608695652173912,133,42,41,24,0.6466666460037231,0.6318541169166565,0.7511737089201878,0.7511737089201878,0.7511737089201878,0.7511737089201878,160,53,53,34
73,0.59375,0.6965306,0.5666666626930237,0.6810790300369263,0.7692307692307693,0.5747126436781609,0.6578947368421053,0.7204610951008646,100,30,74,36,0.5899999737739563,0.6760573983192444,0.7884615384615384,0.5774647887323944,0.6666666666666667,0.7347670250896057,123,33,90,54
74,0.484375,0.7111248,0.4583333432674408,0.7460266351699829,0.7619047619047619,0.367816091954023,0.4961240310077519,0.6274509803921569,64,20,110,46,0.49666666984558105,0.7389074563980103,0.803921568627451,0.38497652582159625,0.5206349206349207,0.6602254428341385,82,20,131,67
75,0.546875,0.68129194,0.4416666626930237,0.7577192187309265,0.7777777777777778,0.3218390804597701,0.45528455284552843,0.606060606060606,56,16,118,50,0.476666659116745,0.7509825229644775,0.8255813953488372,0.3333333333333333,0.4749163879598662,0.6373429084380611,71,15,142,72
76,0.53125,0.7112151,0.5,0.7311557531356812,0.7872340425531915,0.42528735632183906,0.5522388059701493,0.6727272727272726,74,20,100,46,0.5,0.7256984710693359,0.794392523364486,0.39906103286384975,0.53125,0.6630265210608424,85,22,128,65
77,0.6875,0.63031656,0.5791666507720947,0.6893061399459839,0.7967479674796748,0.5632183908045977,0.6599326599326599,0.7357357357357357,98,25,76,41,0.5799999833106995,0.684703528881073,0.7843137254901961,0.5633802816901409,0.6557377049180328,0.7272727272727273,120,33,93,54
78,0.59375,0.68842006,0.625,0.6622463464736938,0.78,0.6724137931034483,0.7222222222222223,0.7558139534883722,117,33,57,33,0.6600000262260437,0.6592702865600586,0.7905759162303665,0.7089201877934272,0.7475247524752475,0.7727737973387923,151,40,62,47
79,0.6875,0.6637468,0.6458333134651184,0.6515320539474487,0.7870967741935484,0.7011494252873564,0.7416413373860181,0.7682619647355164,122,33,52,33,0.6766666769981384,0.6512725353240967,0.7843137254901961,0.7511737089201878,0.7673860911270982,0.7774538386783284,160,44,53,43
80,0.59375,0.69096386,0.6208333373069763,0.6762808561325073,0.8120300751879699,0.6206896551724138,0.7035830618892507,0.7648725212464589,108,25,66,41,0.5899999737739563,0.6778209805488586,0.7710843373493976,0.6009389671361502,0.6754617414248021,0.7297605473204105,128,38,85,49
81,0.53125,0.7206513,0.5958333611488342,0.692376434803009,0.8235294117647058,0.5632183908045977,0.6689419795221843,0.7538461538461537,98,21,76,45,0.5533333420753479,0.6950767636299133,0.7615894039735099,0.539906103286385,0.6318681318681318,0.7037943696450428,115,36,98,51
82,0.640625,0.628901,0.5708333253860474,0.7046251893043518,0.8317757009345794,0.5114942528735632,0.6334519572953737,0.7392026578073089,89,18,85,48,0.5199999809265137,0.709830105304718,0.7633587786259542,0.4694835680751174,0.5813953488372093,0.6784260515603799,100,31,113,56
83,0.59375,0.6664556,0.5666666626930237,0.6904388666152954,0.8125,0.5229885057471264,0.6363636363636364,0.7315112540192926,91,21,83,45,0.5633333325386047,0.6984758973121643,0.7733333333333333,0.5446009389671361,0.6391184573002755,0.7134071340713407,116,34,97,53
84,0.71875,0.623807,0.6291666626930237,0.6529697179794312,0.8014184397163121,0.6494252873563219,0.7174603174603175,0.7655826558265583,113,28,61,38,0.6399999856948853,0.6649467945098877,0.7777777777777778,0.6901408450704225,0.7313432835820896,0.7585139318885449,147,42,66,45
85,0.65625,0.61927444,0.7041666507720947,0.6196730136871338,0.7976878612716763,0.7931034482758621,0.7953890489913544,0.7967667436489607,138,35,36,31,0.6800000071525574,0.6360449194908142,0.7671232876712328,0.7887323943661971,0.7777777777777778,0.7713498622589531,168,51,45,36
